"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"475",3.43214858714636e-41,3.41727132459764,0.324,0.073,1.25620070438144e-36,"9","MRAS"
"476",2.71203640995301e-59,3.4052555012333,0.298,0.044,9.92632446406901e-55,"9","PKDCC"
"477",4.04035357535594e-59,3.33842952007425,0.505,0.135,1.47880981211603e-54,"9","ARHGAP42"
"478",4.50094032408687e-72,3.3274213893565,0.314,0.04,1.64738916801903e-67,"9","CYP4X1"
"479",2.87570504882632e-66,3.30415926917067,0.282,0.036,1.05253680492092e-61,"9","NEBL"
"480",2.29008169525416e-52,3.23123429606969,0.463,0.119,8.38192801279973e-48,"9","LMO7"
"481",2.82672691696859e-68,3.16972267613894,0.521,0.121,1.03461031887967e-63,"9","PRICKLE1"
"482",2.85744472574661e-65,3.14550316711734,0.463,0.098,1.04585334407052e-60,"9","MAPK10"
"483",1.2217884323346e-50,3.10230342682809,0.638,0.272,4.47186784118786e-46,"9","GAB1"
"484",2.20508380526499e-107,3.07997706304145,0.378,0.04,8.07082723565038e-103,"9","LRRC7"
"485",3.46117618201566e-78,3.04310437393168,0.681,0.196,1.26682509437955e-73,"9","FLRT2"
"486",1.56372255342464e-75,3.00758648391868,0.596,0.145,5.72338091778953e-71,"9","ITGA6"
"487",4.13947406880073e-50,2.99756226250961,0.271,0.042,1.51508890392176e-45,"9","CLMP"
"488",6.34205724191277e-66,2.99563724093922,0.415,0.077,2.32125637111249e-61,"9","BMPR1B"
"489",1.06294351924639e-67,2.99388650722553,0.314,0.043,3.8904795747937e-63,"9","NR2F1"
"490",5.99286510366379e-92,2.98989377423102,0.479,0.075,2.19344855659198e-87,"9","VIT"
"491",7.77439308888339e-38,2.98182368926208,0.293,0.062,2.84550561446221e-33,"9","GPSM2"
"492",4.15516031242283e-30,2.93213280076638,0.298,0.077,1.52083022594988e-25,"9","A4GALT"
"493",2.107456230891e-72,2.92473602049661,0.564,0.134,7.71350055068416e-68,"9","MEOX2"
"494",1.66077965896579e-39,2.85697882221578,0.447,0.137,6.0786196297807e-35,"9","AC002066.1"
"495",1.36664609915553e-38,2.82336307914289,0.319,0.072,5.00206138751917e-34,"9","IGFBP6"
"496",4.17373033640026e-49,2.81106147617713,0.335,0.064,1.52762704042586e-44,"9","ADAMTSL3"
"497",8.2123717035316e-70,2.79707985038106,0.34,0.049,3.0058101672096e-65,"9","ACADL"
"498",9.06195782907108e-46,2.78230058626015,0.356,0.077,3.3167671850183e-41,"9","TLE2"
"499",1.83691582528033e-68,2.77262893479151,0.707,0.242,6.72329561210852e-64,"9","PDZRN4"
"500",1.69181930875999e-42,2.76416423805627,0.521,0.179,6.19222785199244e-38,"9","PDE1A"
"501",9.48496650239206e-63,2.38988250963845,0.311,0.028,3.47159258954052e-58,"10","CA2"
"502",2.35461116897058e-39,1.96782847582657,0.274,0.033,8.61811233954923e-35,"10","ASRGL1"
"503",3.95622400993116e-93,1.9460412727614,0.849,0.13,1.4480175498749e-88,"10","LNCAROD"
"504",4.70345085739377e-64,1.90366921004937,0.774,0.162,1.72151004831469e-59,"10","LINC00607"
